题干,A,B,C,D,答案,Unnamed: 6,uncertain,incorrect,question_index
在微机中，VGA代表（   ）。,微机的型号,键盘的型号,显示标准,显示器的型号,C,,,0,0
CRT的分辨率为1024×1024像素，像素的颜色数位256，则刷新存储器的容量是（   ）。,256KB,512KB,1MB,8MB,C,,,0,0
在PC机所配置的显示器中，若显示控制卡上刷新存储器的容量是1MB，则当采用800×600的分辨率模式时，每个像素最多可以有（   ）种不同颜色。,256,65536,16M,4096,B,,,0,0
D/A转换器是（   ）。,把数字量转换为模拟量，把转化结果输入到计算机,把模拟量转换为数字量，把转化结果输入到计算机,把计算机输出的模拟量转换为数字量,把计算机输出的数字量转换为模拟量,D,,,1,0
计算机应用于过程控制时，控制单元必须使用的重要部件是（   ）。,键盘,CRT,打印机,数/模与模/数转换器,D,,,0,0
下面说法错误的是（   ）。,打印机的分辨率用每英寸的点数表示,针式打印机的特点是耗材成本低，噪音小、速度快,非击打式打印机噪音低、耗材成本高,,B,,,0,0
双向打印机的特点是（   ）。,左右双向同时打印,既可以选择从左到右打印，也可选择从右到左打印,先从左到右打印，再从右到左打印,具有两个打印头,C,,,0,0
带有处理器的设备一般称为（   ）设备。,智能化,交互式,进程通信,过程控制,A,,,0,0
"The amount of time required to read a block of data from a disk into memory is composed of seek time, rotational latency, and transfer time. Rotational latency refers to (   )",the time it takes for the platter to make a full rotation,the time it takes for the read-write head to move into position over the appropriate track,the time it takes for the platter to rotate the correct sector under the head,none of the above,C,,,0,0
" If a magnetic disc has 100 cylinders, each containing 10 tracks of 10 sectors, and each sector can contain 128 bytes, what is the maximum capacity of the disk in bytes? (   )",128000,12800000,12800,1280000,D,,,0,0
According to the specifications of a particular hard disk a seek takes 3 msecs (thousandths of a second) between adjacent tracks. If the disk has 100 cylinders how long will it take for the head to move from the innermost cylinder to the outermost cylinder.(   ),30 microseconds,300 msecs,3000 msecs,3 microseconds,B,,,0,0
"In a magnetic disk, the disks containing the data are constantly rotating. On average, it should take half a rotation for the desired data on the disk to spin under the read/write head. Assuming that the disk is rotating at 10000 RPM (Rotations Per Minute), what is the average time for the data to rotate under the disk head? (   )",2 milliseconds,3 milliseconds,4 milliseconds,5 milliseconds,B,,,0,0
