题干,A,B,C,D,E,F,答案,uncertain,incorrect,question_index
"1.public class Test{
2.public static void aMethod() throws Exception{
3.try{
4.throw newException();
5.}finally{
6.System.out.println(""finally"");
7.}
8.}
9.public static void main(String args[]){
10.try{
11.aMethod();
12.}catch(Exception e){
13.System.out.println(""exception"");
14.}
15.System.out.println(""finished"");
16.}
17.}
What istheresult?",finally,exception       finished,finally   exception finished,Compilation fails,,,C,,0,0
Which statement is true?,catch(X x) can catch subclasses of X.,The Error class is a RuntimeException.,Any statement that can throw an Error must be enclosed in a try block.,Any statement that can throw an Exception must been closed in a try block.,Any statement that can throw a RuntimeException must been closed in a try block.,,A,,0,0
"1.public class X{        
2.public static void main(String[] args){        
3.try{        
4.badMethod();        
5.System.out.print(""A"");        
6.}        
7.catch(Exception ex){        
8.System.out.print(""B"");        
9.}       
10.finally{        
11.System.out.print(""C"");        
12.}        
13.System.out.print(""D"");        
14.}        
15.public static void badMethod(){}        
17.}
What is the result?
",AC,BD,ACD,ABCD,Compilation fails.,,C,,0,0
"1.public class X{        
2.public static void main(String[] args){        
3.try{        
4.badMethod();        
5.System.out.print(""A"");        
6.}        
7.catch(Exception ex){        
8.System.out.print(""B"");        
9.}       
10.finally{        
11.System.out.print(""C"");        
12.}        
13.System.out.print(""D"");        
14.}        
15.public static void badMethod(){throw new RuntimeException();}        
17.}
What is the result?
",AB,BC,ABC,BCD,Compilation fails.,,D,,0,0
Which statement is true?,A try statement must have at least one corresponding catch block.,Multiple catch statements can catch the same class of exception more than once.,"An Error that might be thrown in a method must be declared as thrown by that method, or be handled within that method.","Except in case of VM shutdown, if a try block starts to execute, a corresponding finally block will always start to execute.","Except in case of VMshutdown, if a try block starts to execute, a corresponding finally block must always run to completion.",,E,E,0,0
"程序代码如下:    
1.public  class X{        
2.publicstaticvoidmain(String[]args){       
 3.try{       
 4.badMethod();        
5.System.out.print(""A"");       
 6.}       
 7.catch(RuntimeExceptionex){       
 8.System.out.print(""B"");        
9.}        
10.catch(Exceptionex1){        
11.System.out.print(""C"");       
 12.}       
13.finally{        
14.System.out.print(""D"");        
15.}      
16.System.out.print(""E"");        
17.}        
18.publicstaticvoidbadMethod(){        
19.thrownewRuntimeException();     
20.}        
21.}        
其运行结果为:_____________________________",BD,BCD,BDE,BCDE,ABCDE,Compilation fails.,C,,1,0
"Given:           
1.public class X{        
2.public static void main(String[] args){        
3.try{        
4.badMethod();        
5.System.out.print(""A"");        
6.}        
7.catch(Exception ex){        
8.System.out.print(""C"");        
9.}        
10.finally{        
11.System.out.print(""B"");        
12.}      
13.System.out.print(""D"");        
14.}        
15.public static void badMethod(){        
16.throw newError();        
17.}        
18.}        
What is the result?",ABCD,Compilation fails.,C is printed before exiting with an error message.,BC is printed before exiting with an error message.,BCD is printed before exiting with an error message.,,B,B,0,0
"Given:        
11.try{        
12.intx=0;        
13.inty=5/x;        
14.}catch(Exception e){       
15.System.out.println(""Exception"");        
16.}catch(Arithmetic Exception ae){        
17.System.out.println(""Arithmetic Exception"");       
18.}     
19.System.out.println(""finished"");        
What is the result?",finished,Exception,Compilation fails.,Arithmetic Exception.,,,C,,1,0
"程序代码如下:      
1.public class Test{       
 2.private static int[] x;   
3.public static void main(String[] args){       
 4.System.out.println(x[0]);       
 5.}       
 6.}       
其运行结果为:",0,,Compilation fails.,A NullPointerException is thrown at runtime.,An ArrayIndexOutOfBoundsException is thrown at runtime.,,D,,1,0
"Given:        
1.public class foo{        
2.public static void main(string[] args)        
3.try{return;}        
4.finally{system.out.printIn(""Finally"");}        
5.}       
 6.)         
What is the result?",The program runs and prints nothing.,"The program runs and prints""Finally""","The code compiles,but an exception is thrown at runtime.",The code will not compile because the catch block is missing.,,,B,,0,0
Which statement is true?,The Error class is a untimeException.,No exceptions are subclasses of Error.,Any statement that may throw an Error must be enclosed in a try block.,Any statement that may throw an Exception must be enclosed in a try block.,Any statement that may thro a runtimeException must be enclosed in a try block.,,D,,0,0
A Java exception is an instance of __________.,RuntimeException,Exception,Error,Throwable,NumberFormatException,,D,,1,0
An instance of _________ describes the errors caused by your program and external circumstances. These errors can be caught and handled by your program.,RuntimeException,Exception,Error,Throwable,NumberFormatException,,B,,0,0
"下列代码将抛出____________________
intnumber=Integer.MAX_VALUE+1;",RuntimeException,Exception,Error,Throwable,no Exception,,E,,0,0
"What exception type does the following program throw?
publicclassTest{
public static void main(String[] args) {
System.out.println(1 / 0);
}
}",ArithmeticException,ArrayIndexOutOfBoundsException,StringIndexOutOfBoundsException,ClassCastException,No exception,,A,,0,0
"下列代码将抛出_____________________
publicclassTest{
public static void main(String[] args) 
String s = ""abc"";
System.out.println(s.charAt(3));
}
}",ArithmeticException,ArrayIndexOutOfBoundsException,StringIndexOutOfBoundsException,ClassCastException,No exception,,C,,1,0
"下列代码将抛出_____________________
publicclassTest{
public static void main(String[] args) 
Object o = new Object();
String d = (String)o;
}
}",ArithmeticException,ArrayIndexOutOfBoundsException,StringIndexOutOfBoundsException,ClassCastException,No exception,,D,D,0,0
"What exception type does the following program throw?
publicclassTest{
public static void main(String[] args) 
Object o = null;
System.out.println(o);
}
}",ArithmeticException,ArrayIndexOutOfBoundsException,StringIndexOutOfBoundsException,no Exception,NullPointerException,,D,,1,0
一个方法必须申明要抛出__________.,unchecked exceptions,checked exceptions,Error,RuntimeException,,,B,,0,0
"Analyze the following code:
classTest{
public static void main(String[] args)
throws MyException {
System.out.println(""Welcome to Java"");
}
}

classMyExceptionextendsError{
}","You should not declare a class that extends Error, because Error raises a fatal error that terminates the program.",You cannot declare an exception in the main method.,"You declared an exception in the main method, but you did not throw it.",The program has a compilation error.,,,A,,0,0
"Analyze the following code:
classTest{
public static void main(String[] args) {
try {
String s = ""5.6"";
Integer.parseInt(s); // Cause a NumberFormatException
int i = 0;
int y = 2 / i;
}
catch (Exception ex) {
System.out.println(""NumberFormatException"");
}
catch (RuntimeException ex) {
System.out.println(""RuntimeException"");
}
}
}",The program displays NumberFormatException.,The program displays RuntimeException.,The program displays NumberFormatException followed by RuntimeException.,The program has a compilation error.,,,D,,0,0
"Analyze the following code:
classTest{
public static void main(String[] args) {
try {
String s = ""5.6"";
Integer.parseInt(s); // Cause a NumberFormatException
int i = 0;
int y = 2 / i;
            System.out.println(""Welcome to Java"");
}
catch (Exception ex) {
System.out.println(""NumberFormatException"");
}
}
}",An exception is raised due to Integer.parseInt(s);,An exception is raised due to 2 / i;,The program has a compilation error.,The program compiles and runs without exceptions.,,,A,,0,0
"What is displayed on the console when running the following program?
classTest{
public static void main(String[] args) {
try {
method();
System.out.println(""After the method call"");
}
catch (NumberFormatException ex) {
System.out.println(""NumberFormatException"");
}
catch (RuntimeException ex) {
System.out.println(""RuntimeException"");
}
}

static void method() {
String s = ""5.6"";
Integer.parseInt(s); // Cause a NumberFormatException
int i = 0;
int y = 2 / i;
System.out.println(""Welcome to Java"");
}
}",The program displays NumberFormatException.,The program displays NumberFormatException followed by After the method call.,The program displays NumberFormatException followed by RuntimeException.,The program has a compilation error.,The program displays RuntimeException.,,A,,0,0
"classTest{
public static void main(String[] args) {
try {
method();
System.out.println(""After the method call"");
}
catch (RuntimeException ex) {
System.out.println(""RuntimeException"");
}
        catch (Exception e) {
System.out.println(""Exception"");
}
}

static void method() throws Exception {
    try
    {
String s = ""5.6"";
Integer.parseInt(s); // Cause a NumberFormatException
int i = 0;
int y = 2 / i;
System.out.println(""Welcome to Java"");
}
    catch (RuntimeException ex) {
System.out.println(""RuntimeException"");
}
    catch (Exception e) {
  System.out.println(""Exception"");
}
}",The program displays RuntimeException twice.,The program displays Exception twice.,The program displays RuntimeException followed by After the method call.,The program displays Exception followed by RuntimeException.,The program has a compilation error.,,C,B,1,0
"下列代码运行将出现什么结果?

classTest{
public static void main (String[] args) {
try {
System.out.println(""Welcome to Java"");
            int i = 0;
            int y = 2 / i;
            System.out.println(""Welcome to HTML"");
}
finally {
System.out.println(""The finally clause is executed"");
}
}
}","Welcome to Java, then an error message.","Welcome to Java followed by The finally clause is executed in the next line, then an error message.","The program displays three lines: Welcome to Java, Welcome to HTML, The finally clause is executed, then an error message.",None of the above.,,,B,,0,0
"What is displayed on the console when running the following program?

classTest{
public static void main (String[] args) {
try {
System.out.println(""Welcome to Java"");
            int i = 0;
            int y = 2.0 / i;
            System.out.println(""Welcome to HTML"");
}
finally {
System.out.println(""The finally clause is executed"");
}
}
}",Welcome to Java.,Welcome to Java followed by The finally clause is executed in the next line.,"The program displays three lines: Welcome to Java, Welcome to HTML, The finally clause is executed.",None of the above.,,,D,,1,0
"What is displayed on the console when running the following program?

class Test {
  public static void main(String[] args) {
    try {
      System.out.println(""Welcome to Java"");
      int i = 0;
      int y = 2/i;
      System.out.println(""Welcome to Java"");
    }
    catch (RuntimeException ex) {
      System.out.println(""Welcome to Java"");
    }
    finally {
      System.out.println(""End of the block"");
    }
   
    System.out.println(""End of the block"");
  }
}

","The program displays Welcome to Java three times followed by End of the block.

",The program displays Welcome to Java two times followed by End of the block.,The program displays Welcome to Java two times followed by End of the block two times.,You cannot catch RuntimeException errors.,,,C,,0,0
"What is displayed on the console when running the following program?

class Test {
  public static void main(String[] args) {
    try {
      System.out.println(""Welcome to Java"");
      int i = 0;
      int y = 2/i;
      System.out.println(""Welcome to Java"");
    }
    finally {
      System.out.println(""End of the block"");
    }
   
    System.out.println(""End of the block"");
  }
}

","The program displays Welcome to Java three times followed by End of the block.

",The program displays Welcome to Java two times followed by End of the block.,The program displays Welcome to Java two times followed by End of the block two times.,"The program displays Welcome to Java and End of the block, and then terminates because of an unhandled exception.",,,D,,0,0
"Which of the following is not an advantage of Java exception handling?

",Java separates exception handling from normal processing tasks.,Exception handling improves performance.,Exception handling makes it possible for the caller's caller to handle the exception.,Exception handling simplifies programming because the error-reporting and error-handling code can be placed at the catch block.,,,B,,0,0
"Analyze the following code:

class Test {
  public static void main(String[] args) {
    try {
      int zero = 0;
      int y = 2/zero;
      try {
        String s = ""5.6"";
        Integer.parseInt(s); // Cause a NumberFormatException
      }
      catch(Exception e) {
      }
    }
    catch(RuntimeException e) {
      System.out.println(e);
    }
  }
}


","A try-catch block cannot be embedded inside another try-catch block.

","A good programming practice is to avoid nesting try-catch blocks, because nesting makes programs difficult to read. You can rewrite the program using only one try-catch block.",The program has a compilation error because Exception appears before RuntimeException.,None of the above.,,,B,,0,0
"What is displayed on the console when running the following program?

class Test {
  public static void main(String[] args) {
    try {
      method();
      System.out.println(""After the method call"");
    }
    catch (RuntimeException ex) {
      System.out.println(""RuntimeException"");
    }
    catch (Exception ex) {
      System.out.println(""Exception"");
    }
  }

  static void method() throws Exception {
    try {
      String s = ""5.6"";
      Integer.parseInt(s); // Cause a NumberFormatException

      int i = 0;
      int y = 2 / i;
      System.out.println(""Welcome to Java"");
    }
    catch (NumberFormatException ex) {
      System.out.println(""NumberFormatException"");
      throw ex;
    }
    catch (RuntimeException ex) {
      System.out.println(""RuntimeException"");
    }
  }
}

",The program displays NumberFormatException twice.,The program displays NumberFormatException followed by After the method call.,The program displays NumberFormatException followed by RuntimeException.,The program has a compilation error.,,,C,C,0,0
Which is not a method of the class InputStream?,int read(byte[]),void flush(),void close(),int available(),,,B,,0,0
"FilterOutputStream is the parent class for BufferedOutputStream, DataOutputStream and PrintStream. Which classes are valid argument for the constructor of a FilterOutputStream?",InputStream,OutputStream,File,RandomAccessFile,StreamTokenizer,,B,,0,0
True or False: Readers have methods that can read and return floats and doubles.,Ture,FALSE,,,,,B,,0,0
"代码如下:     
1.//PointX        
2.public class foo{        
3.public static void main(String[] args) throws Exception{        4.jave.io.PrintWriterout=new jave.io.PrintWriter(        
5.new         jave.io.OutputStreamWriter(System.out),true);      
  6.out.println(""Hello"");        
7.}        
8.} 
在第一行要求为_____________,上述程序代码才能编译成功.",No statement is required.,import jave.io.*;,include java.io.*;,import jave.io.PrintWriter;,include java.io.PrintWriter;,,A,,0,0
"Which gets the name of the parent directory file""file.txt""?","String name=File.getParentName(""file.txt"");","String name=(new File(""file.txt"")).getParent();","String name=(new File(""file.txt"")).getParentName();","String name=(new File(""file.txt"")).getParentFile();","Directory dir=(new File(""file.txt"")).getParentDir();   String name=dir.getName();",,B,,0,0
Which can be used to encode charS for output?,Java.io.OutputStream.,Java.io.OutputStreamWriter.,Java.io.EncodeOutputStream.,Java.io.EncodeWriter.,Java.io.BufferedOutputStream.,,B,,0,0
"Which determines if""prefs""is a directory and exists on the file system?","Boolean exists=Directory.exists(""prefs"");","Boolean exists=(new File(""prefs"")).isDir();","Boolean exists=(new Directory(""prefs"")).exists();","Boolean exists=(new File(""prefs"")).isDirectory();","Boolean exists=true;       Try{      Directory d=new Directory(""prefs"");
      }      catch(FileNotFoundException e){
      exists=false;
      }
",,D,,0,0
哪一个将构造一个DataOutputStream?,"New dataInputStream(""in.txt"");","New dataInputStream(new file(""in.txt""));","New dataInputStream(new writer(""in.txt""));","New dataInputStream(new FileWriter(""in.txt""));","New dataInputStream(new InputStream(""in.txt""));","New dataInputStream(new FileInputStream(""in.txt""));",F,,0,0
Which of the following statements CANNOT create an instance of File on Window for the file c:\temp.txt?,"new File(""c:\temp.txt"")","new File(""c:\\\temp.txt"")","new File(""c:/temp.txt"")","new File(""c://temp.txt"")",,,A,,0,0
Which of the following statements are true?,"If a file (e.g., c:\temp.txt) does not exist, new File(""c:\\temp.txt"") returns null.","If a directory (e.g., c:\liang) does not exist, new File(""c:\liang"") returns null.","If a file (e.g., c:\temp.txt) does not exist, new File(""c:\\temp.txt"") creates a new file named c:\temp.txt.","If a directory (e.g., c:\liang) does not exist, new File(""c:\liang"") creates a new directory named c:\liang.",None of the above.,,E,,0,0
"下面哪个类包含方法,能够检查一个文件是否存在?",File,PrintWriter,Scanner,System,,,A,,0,0
下面哪个类用来从一个文本文件中读取数据信息?,File,PrintWriter,Scanner,System,,,C,,0,0
Which method can be used to write data?,close,print,exist,rename,,,B,,0,0
下面哪个方法可以从一个文件中读取一行内容?,next,nextLine,nextInt,nextDouble,,,B,,0,0
Which method can be used to create an input object for file temp.txt?,"new Scanner(""temp.txt"")",new Scanner(temp.txt),"new Scanner(new File(""temp.txt""))","new Scanner(File(""temp.txt""))",,,C,,0,0
"Suppose you enter 34.3 57.8 789, then press the ENTER key. Analyze the following code.
Scannerinput=newScanner(System.in);
intv1=input.nextInt();
intv2=input.nextInt();
Stringline=input.nextLine();","After the last statement is executed, intValue is 34.",The program has a runtime error because 34.3 is not an integer.,"After the last statement is executed, line contains characters '7', '8', '9', '\n'.","After the last statement is executed, line contains characters '7', '8', '9'.",,,B,,0,0
"Suppose you enter 34.3, the ENTER key, 57.8, the ENTER key. Analyze the following code.
Scannerinput=newScanner(System.in);
doublev1=input.nextDouble();
doublev2=input.nextDouble();
Stringline=input.nextLine();","After the last statement is executed, intValue is 34.",The program has a runtime error because 34.3 is not an integer.,"After the last statement is executed, line contains characters '7', '8', '9', '\n'.","After the last statement is executed, line contains characters '7 ', '8 ', '9?.","After the last statement is executed, line contains character '\n '.",,E,,0,0
下面哪个方法可以用来获取一个使用InputStream访问的文件的字节数?,length(),available(),size(),getSize(),,,B,,0,0
"为了在一个已经存在的文件后面追加内容,使用_____________来为文件out.dat创建一个FileOutptStream.","new FileOutputStream(""out.dat"")","new FileOutputStream(""out.dat"", false)","new FileOutputStream(""out.dat"", true)","new FileOutputStream(true, ""out.dat"")",,,C,,0,0
"What does the following code do?
FileInputStreamfis=newFileInputStream(""test.dat"");",It creates a new file named test.dat if it does not exist and opens the file so you can write to it.,It creates a new file named test.dat if it does not exist and opens the file so you can write to it and read from it.,It creates a new file named test.dat regardless of whether it exists or not and opens the file so you can write to it.,It creates a new file named test.dat regardless of whether it exists or not and opens the file so you can write to it and read from it.,It creates a FileInputStream for test.dat if test.dat exists.,,E,,0,0
Which type of exception occurs when creating a DataInputStream for a nonexistent file?,FileNotExist,FileNotExistException,FileNotFound,FileNotFoundException,,,D,,0,0
Which of the following statements is correct to create a DataOutputStream to write to a file named out.dat?,"DataOutputStream outfile = new DataOutputStream(new File(""out.dat""));","DataOutputStream outfile = new DataOutputStream(new FileOutputStream(""out.dat""));","DataOutputStream outfile = new DataOutputStream(FileOutputStream(""out.dat""));","DataOutputStream outfile = new DataOutputStream(""out.dat"");",,,B,,0,0
"下面程序运行完毕后,多少字节将被写入文件t.dat?
importjava.io.*;
publicclassTest{
public static void main(String[] args) throws IOException {
DataOutputStream output = new DataOutputStream(
new FileOutputStream(""t.dat""));
output.writeShort(1234);
output.writeShort(5678);
output.close();
}
}",2 bytes.,4 bytes.,8 bytes.,16 bytes.,,,B,,0,0
"下列程序代码执行完毕后,多少个字节被写入到文件t.dat中?

import java.io.*;

public class Test {
  public static void main(String[] args) throws IOException {
    DataOutputStream output = new DataOutputStream(
      new FileOutputStream(""t.dat""));
    output.writeChars(""ABCD"");
    output.close();
  }
}

",2 bytes.,4 bytes.,8 bytes.,12 bytes.,16 bytes.,,C,,0,0
"为了创建一个文件,可以使用________________.",FileOutputStream,FileWriter,RandomAccessFile,All of the above.,,,D,,0,0
Which of the following is the legal mode for creating a new RandomAccessFile stream?,"""w""",'r',"""rw""","""rwx""",,,C,,0,0
下面哪个I/O类可以用来添加或修改一个文件的内容?,RandomAccessFile(),OutputStream(),DataOutputStream(),None of the above,,,A,,0,0
"在下面的空格中,选择合适的代码. Comparable______ c = new Date();",<String>,<?>,<Date>,<E>,,,C,,0,0
假设List<String> list = new ArrayList<String>. 下面哪个代码是正确的?,"list.add(""Red"");",list.add(new Integer(100));,list.add(new java.util.Date());,list.add(new ArrayList());,,,A,,0,0
"To declare a class named A with a generic type, use",public class A<E> { ... },"ublic class A<E, F> { ... }",public class A(E) { ... },"public class A(E, F) { ... }",,,A,,0,0
"To declare an interface named A with a generic type, use",public interface A<E> { ... },"public interface A<E, F> { ... }",public interface A(E) { ... },"public interface A(E, F) { ... }",,,A,,0,0
"To create a generic type bounded by Number, use",<E extends Number>,<E extends Object>,<E>,<E extends Integer>,,,A,,0,0
Which of the following declarations use raw type?,ArrayList<Object> list = new ArrayList<Object>();,ArrayList<String> list = new ArrayList<String>();,ArrayList<Integer> list = new ArrayList<Integer>();,ArrayList list = new ArrayList();,,,D,,0,0
"If you use the javac command to compile a program that contains raw type, what would the compiler do?",report syntax error,report warning and generate a class file,report warning without generating a class file,no error and generate a class file,report warning and generate a class file if no other errors in the program.,,E,E,0,0
"If you use the javac ?Xlint:unchecked command to compile a program that contains raw type, what would the compiler do?",report compile error,report warning and generate a class file,report warning without generating a class file,no error and generate a class file,,,B,C,1,0
ArrayList<Integer> 是 ArrayList<Object> 的一个子类?,Yes,No,,,,,B,A,1,0
ArrayList<Integer> 是 ArrayList<?>的一个子类吗?,Yes,No,,,,,A,A,0,0
ArrayList<Integer>类是ArrayList<? extends Number>的一个子类?,Yes,No,,,,,A,A,0,0
Is ArrayList<?> same as ArrayList<? extends Object>?,Yes,No,,,,,A,B,1,0
<? super Number>是 Number 的一个父类吗?,Yes,No,,,,,A,B,1,0
"在下列选项中,哪一个可以用来代替下面代码中的YYYYYYYY?
publicclassWildCardDemo3{
public static void main(String[] args) {
GenericStack<String> stack1 = new GenericStack<String>();
GenericStack<Object> stack2 = new GenericStack<Object>();
stack2.push(""Java"");
stack2.push(2);
stack1.push(""Sun"");
add(stack1, stack2);
WildCardDemo2.print(stack2);
}
public static <T> void add(GenericStack<T> stack1,
GenericStack<YYYYYYYY> stack2) {
while (!stack1.isEmpty())
stack2.push(stack1.pop());
}
}",? super Object,? super T,? extends T,? extends Object,,,B,D,1,0
"Fill in the most appropriate code in the place (1) and (2) in the MyInt class?
publicclassMyIntimplements___(1)____{
int id;
public MyInt(int id) {
this.id = id;
}
public String toString() {
return String.valueOf(id);
}
public int compareTo(___(2)____ arg0) {
if (id > ((MyInt) arg0).id)
return 1;
else if (id < ((MyInt) arg0).id)
return -1;
else
return 0;
}
}",(1) Comparable / (2) Object,(1) Comparable<MyInt> / (2) MyInt,(1) Comparable<MyInt> / (2) Object,(1) Comparable / (2) MyInt,,,B,C,1,0
"Which contains objects without ordering, duplication, or any particular lookup/retrieval mechanism?",Map,Set,List,Collection,Enumeration,,B,,0,0
"You need to store elements in a collection that guarantees that no duplicates are stored and all elements can be accessed in natural order.Which interface provides that
capability?",Java.util.Map.,Java.util.Set.,Java.util.List.,Java.util.StoredSet.,Java.util.StoredMap.,Java.util.Collection.,D,,0,0
Which of the data types below does not allow duplicates?,Set,List,Vector,Stack,LinkedList,,A,,0,0
"下列数据类型中,哪一个没有实现Collection接口?",HashSet,TreeSet,ArrayList,LinkedList,Map,,E,D,1,0
Which of the data types below could be used to store elements in their natural order based on the compareTo method?,HashSet,TreeSet,LinkedHashSet,Collection,Set,,B,B,0,0
"What is the output for the following code?

import java.util.*;
public class Test {
    public static void main(String[] args) {
        Set<A> set = new HashSet<A>();
        set.add(new A());
        set.add(new A());
        set.add(new A());
        set.add(new A());
        System.out.println(set);
    }
}

class A  {
    int r = 1;

    public String toString() {
        return r + """";
    }

    public boolean equals(Object o) {
        return this.r == ((A)o).r;
    }

    public int hashCode() {
        return r;
    }
}


",[1],"[1, 1]","[1, 1, 1]","[1, 1, 1, 1]",,,A,A,0,0
"Suppose set s1 is [1, 2, 5] and set s2 is [2, 3, 6]. After s1.addAll(s2), s1 is __________.","[1, 2, 2, 3, 5, 6]","[1, 2, 3, 5, 6]","[1, 5]",[2],,,B,,0,0
"假设set s1为[1,2,5],set s2为[2,3,6],那么执行s1.addAll(s2)后,s2为:__________.","[1, 2, 2, 3, 5, 6]","[1, 2, 3, 5, 6]","[1, 5]","[2, 3, 6]",[2],,D,,0,0
"假设set s1 为[1,2,5], s2为[2,3,6],执行s1.removeAll(s2)后,s1为:________________?","[1, 2, 2, 3, 5, 6]","[1, 2, 3, 5, 6]","[1, 5]",[2],,,C,,0,0
"Suppose set s1 is [1, 2, 5] and set s2 is [2, 3, 6]. After s1.retainAll(s2), s1 is __________.","[1, 2, 2, 3, 5, 6]","[1, 2, 3, 5, 6]","[1, 5]",[2],,,D,D,0,0
"下列代码的输出结果为:_______________________.
    LinkedHashSet<String> set1 = new LinkedHashSet<String>();
    set1.add(""New York"");
    LinkedHashSet<String> set2 = (LinkedHashSet<String>)(set1.clone());
    set1.add(""Atlanta"");
    set2.add(""Dallas"");
    System.out.println(set2);",[New York],"[New York, Atlanta]","[New York, Atlanta, Dallas]","[New York, Dallas]",,,D,,0,0
"If you want to store non-duplicated objects in the order in which they are inserted, you should use ____________.",HashSet,LinkedHashSet,TreeSet,ArrayList,LinkedList,,B,B,0,0
下面哪个方法将组合set s1与s2?,s1.union(s2),s1 + s2,s1.addAll(s2),s1.add(s2),,,C,,0,0
Which of the following is correct to perform the set intersection of two sets s1 and s2.,s1.intersect(s2),s1.join(s2),s1.retainAll(s2),s1.intersection(s2),,,C,,0,0
"Analyze the following code.

import java.util.*;

public class Test {
  public static void main(String[] args) throws Exception {
    Set<String> set = new TreeSet<String>();
    
    set.add(""Red"");
    set.add(""Green"");
    set.add(""Blue"");
    
    System.out.println(set.first());
  }
}",The program displays Red,The program displays Blue,The program displays Green,"The program may display Red, Blue, or Green.","The program cannot compile, because the first() method is not defined in Set.",,E,A,1,0
"Analyze the following code.

import java.util.*;

public class Test {
  public static void main(String[] args) throws Exception {
    TreeSet<String> set = new TreeSet<String>();
    
    set.add(""Red"");
    set.add(""Yellow"");
    set.add(""Green"");
    set.add(""Blue"");
    SortedSet temp = set.headSet(""Purple"");
    
    System.out.println(temp.first());
  }
}",The program displays Red,The program displays Blue,The program displays Green,The program displays Yellow,The program displays Purple,,B,E,1,0
"Suppose list1 is an ArrayList and list2 is a LinkedList. Both contains 1 million double values. Analyze the following code:

A:
for (int i = 0; i < list1.size(); i++)
  sum += list1.get(i);

B:
for (int i = 0; i < list2.size(); i++)
  sum += list2.get(i);",Code fragment A runs faster than code fragment B.,Code fragment B runs faster than code fragment A.,Code fragment A runs as fast as code fragment B.,,,,A,,0,0
Which method do you use to test if an element is in a set or list named x?,(element instanceof List) || (element instanceof Set),x.in(element),x.contain(element),x.contains(element),x.include(element),,D,,1,0
下面哪个方法可以获取set x或者list x中元素的个数?,x.length(),x.count(),x.counts(),x.size(),x.sizes(),,D,,1,0
"下列程序运行结果是___________?
        List<String> list = new ArrayList<String>();
        list.add(""A"");
        list.add(""B"");
        list.add(""C"");
        list.add(""D"");
        for (int i = 0; i < list.size(); i++)
            System.out.print(list.remove(i));",ABCD,AB,AC,AD,ABC,,C,A,1,0
"Suppose list list1 is [1, 2, 5] and list list2 is [2, 3, 6]. After list1.addAll(list2), list1 is __________.","[1, 2, 2, 3, 5, 6]","[1, 2, 3, 5, 6]","[1, 5]",[2],,,A,,1,0
"假设list  list1为[1,2,3],list2为[2,3,6], 执行list1.addAll(list2)后,list2为__________.","[1, 2, 2, 3, 5, 6]","[1, 2, 3, 5, 6]","[1, 5]",[2],"[2, 3, 6]",,E,,0,0
"Suppose a list contains {""red"", ""green"", ""red"", ""green""}. What is the list after the following code?

    String element = ""red"";
    for (int i = list.size() - 1; i >= 0; i--)
      if (list.get(i).equals(element))
        list.remove(element);","{""red"", ""red"", ""green""}","{""red"", ""green""}","{""green""}",{},,,C,C,0,0
方法_________________将为list对象lst中的元素排序.,lst.sort(),Collections.sort(lst),Arrays.sort(lst),"new LinkedList(new String[]{""red"", ""green"", ""blue""})",,,B,B,0,0
"为了从一个数组中产生一个list,下面哪个表达式是正确的?","new List({""red"", ""green"", ""blue""})","new List(new String[]{""red"", ""green"", ""blue""})","Arrays.asList(new String[]{""red"", ""green"", ""blue""})","new ArrayList(new String[]{""red"", ""green"", ""blue""})","new LinkedList(new String[]{""red"", ""green"", ""blue""})",,C,C,0,0
"为了发现一个字符串数组(例如 String[] names = {""red"", ""green"", ""blue""})中最大的对象,可以使用方法____________________.",Arrays.max(names),Arrays.sort(names),Collections.max(names),Collections.max(Arrays.asList(names)),None of the above,,D,D,0,0
Which data type should you use if you want to store duplicate elements and be able to insert or delete elements anywhere efficiently.,ArrayList,LinkedList,Vector,Set,Stack,,B,,1,0
"Analyze the following code:

public class Test implements Runnable {
  public static void main(String[] args) {
    Thread t = new Thread(this);
    t.start();
  }

  public void run() {
    System.out.println(""test"");
  }
}     ()

","The program does not compile because this cannot be referenced in a static method.

","The program compiles fine, but it does not print anything because t does not invoke the run() method.",The program compiles and runs fine and displays test on the console.,None of the above.,,,A,,0,0
"以下代码段输出结果为:()

// Test.java: Define threads using the Thread class
public class Test {
  /** Main method */
  public static void main(String[] args) {
    new Test();
  }

  public Test() {
    // Create threads
    PrintChar printA = new PrintChar('a', 4);
    PrintChar printB = new PrintChar('b', 4);

    // Start threads
    printA.run();
    printB.run();
  }

  class PrintChar implements Runnable {
    private char charToPrint; // The character to print
    private int times; // The times to repeat

    /** Construct a thread with specified character and number of
       times to print the character
     */
    public PrintChar(char c, int t) {
      charToPrint = c;
      times = t;
    }

    /** Override the run() method to tell the system
       what the thread will do
     */
    public void run() {
      for (int i = 0; i < times; i++)
        System.out.print(charToPrint);
    }
  }
}",aaaabbbb,bbbbbaaaaa,a和b将随机出现,ababababab,,,A,,1,0
"Analyze the following code:

public abstract class Test implements Runnable {
  public void doSomething() {
  };
}
The correct answer is ()",The program will not compile because it does not implement the run() method.,The program will not compile because it does not contain abstract methods.,The program compiles fine.,None of the above.,,,C,,0,0
"Analyze the following code:

public class Test implements Runnable {
  public static void main(String[] args) {
    Test t = new Test();
    t.start();
  }

  public void run() {
  }
}
the correct answer is ()",The program does not compile because the start() method is not defined in the Test class.,"The program compiles, but it does not run because the start() method is not defined.","The program compiles, but it does not run because the run() method is not implemented.",The program compiles and runs fine.,,,A,,1,0
